judul,kategori
"Bank Indonesia naikkan suku bunga acuan menjadi 6 persen",ekonomi
"Presiden lantik menteri kabinet baru",politik
"Film Indonesia raih penghargaan di festival internasional",hiburan
"Peluncuran smartphone flagship dengan teknologi AI terbaru",teknologi
"Tim nasional lolos ke babak final Piala Dunia",olahraga
"Harga minyak dunia turun drastis",ekonomi
"DPR sahkan RUU tentang ibu kota negara",politik
"Konser musik K-Pop dihadiri 50 ribu penonton",hiburan
"Startup teknologi raih pendanaan seri B senilai 50 juta dolar",teknologi
"Atlet Indonesia pecahkan rekor dunia angkat besi",olahraga
"Inflasi bulanan naik 0.5 persen",ekonomi
"Pemilu kepala daerah serentak akan digelar tahun depan",politik
"Serial drama televisi raih rating tertinggi",hiburan
"Kecerdasan buatan mampu deteksi penyakit dari foto sinar-X",teknologi
"Kejuaraan bulu tangkis internasional dimulai pekan ini",olahraga
"Nilai tukar rupiah menguat terhadap dolar AS",ekonomi
"Menteri luar negeri kunjungi lima negara ASEAN",politik
"Penyanyi pop rilis album terbaru setelah hiatus dua tahun",hiburan
"Jaringan 5G diperluas ke 100 kota di Indonesia",teknologi
"Pembalap Indonesia juara di ajang MotoGP",olahraga
"Bursa saham ditutup menguat 2 persen",ekonomi
"Pemerintah umumkan kebijakan subsidi energi baru",politik
"Festival film dokumenter tampilkan 50 karya pilihan",hiburan
"Robot AI mulai digunakan di rumah sakit untuk bantu tenaga medis",teknologi
"Liga sepak bola domestik masuki babak semifinal",olahraga
"Ekspor komoditas pertanian meningkat 25 persen",ekonomi
"Debat calon presiden akan disiarkan langsung di televisi nasional",politik
"Aktor ternama raih penghargaan lifetime achievement",hiburan
"Aplikasi berbasis blockchain untuk keamanan data diluncurkan",teknologi
"Atlet renang Indonesia sabet medali emas di SEA Games",olahraga
"Penjualan ritel naik signifikan jelang akhir tahun",ekonomi
"Sidang kasus korupsi mantan pejabat dimulai hari ini",politik
"MusikFest Jakarta hadirkan 30 musisi dari berbagai genre",hiburan
"Teknologi quantum computing mulai diuji coba di universitas",teknologi
"Tim voli putri Indonesia kalahkan juara bertahan",olahraga
"Harga emas antam naik Rp10.000 per gram",ekonomi
"Partai politik gelar kongres nasional untuk pilih ketua umum baru",politik
"Reality show pencarian bakat tayang perdana malam ini",hiburan
"Satelit komunikasi buatan dalam negeri berhasil diluncurkan",teknologi
"Turnamen tenis terbuka Indonesia dibuka oleh menteri pemuda dan olahraga",olahraga
"Pertumbuhan ekonomi kuartal ketiga capai 5.3 persen",ekonomi
"Rapat paripurna DPR bahas anggaran pendidikan",politik
"Band legendaris umumkan tur reuni setelah 10 tahun vakum",hiburan
"Drone pengiriman paket mulai diuji di beberapa kota besar",teknologi
"Petinju nasional bertahan sebagai juara dunia kelas berat",olahraga
"Pemerintah turunkan harga BBM subsidi",ekonomi
"Wakil presiden hadiri KTT perubahan iklim",politik
"Platform streaming lokal luncurkan konten original series",hiburan
"Mobil listrik produksi lokal siap dipasarkan tahun depan",teknologi
"Kompetisi eSports tingkat nasional hadiah miliaran rupiah",olahraga
"Kementerian keuangan terbitkan obligasi negara seri baru",ekonomi
"Mahkamah konstitusi putuskan sengketa pemilu daerah",politik
"Sutradara muda Indonesia film pendeknya masuk nominasi Oscar",hiburan
"Teknologi pengenalan wajah diterapkan di bandara internasional",teknologi
"Pelatih timnas mengundurkan diri setelah kekalahan beruntun",olahraga
"Indeks harga saham gabungan tembus level 7000",ekonomi
"Menteri koordinator bidang politik gelar rapat koordinasi",politik
"Penghargaan musik Indonesia umumkan nominasi tahun ini",hiburan
"Perusahaan teknologi buka pusat riset AI di Jakarta",teknologi
"Pemain sepak bola muda dipanggil ke tim nasional senior",olahraga
"Bank sentral pertahankan suku bunga di level 5.75 persen",ekonomi
"Komisi pemberantasan korupsi tangkap pejabat daerah",politik
"Film horor Indonesia pecahkan rekor penonton",hiburan
"Laptop gaming dengan prosesor generasi terbaru diluncurkan",teknologi
"Atlet panjat tebing raih emas di kejuaraan Asia",olahraga
"Harga komoditas pangan stabil menjelang lebaran",ekonomi
"Pemerintah daerah usulkan revisi peraturan daerah",politik
"Konser amal untuk korban bencana kumpulkan miliaran rupiah",hiburan
"Teknologi AR dan VR mulai digunakan dalam pendidikan",teknologi
"Klub sepak bola lokal rekrut pemain asing bintang",olahraga
"Defisit anggaran negara diprediksi menurun tahun ini",ekonomi
"Senator terpilih dilantik di gedung parlemen",politik
"Acara penghargaan film asia digelar di Bali",hiburan
"Chipset smartphone terbaru klaim hemat baterai 40 persen",teknologi
"Tim basket nasional lolos ke olimpiade setelah 20 tahun",olahraga
"Penjualan properti residensial meningkat kuartal ini",ekonomi
"Perdana menteri negara tetangga kunjungi Indonesia",politik
"Musisi jazz internasional akan konser di Jakarta",hiburan
"Teknologi deepfake detector dikembangkan peneliti lokal",teknologi
"Pesepeda Indonesia juara tour de Asia",olahraga
"Cadangan devisa Indonesia capai 150 miliar dolar AS",ekonomi
"Menteri dalam negeri evaluasi kinerja gubernur se-Indonesia",politik
"Serial animasi Indonesia tayang di platform internasional",hiburan
"Perusahaan fintech raih lisensi dari OJK",teknologi
"Stadion baru berkapasitas 80 ribu penonton diresmikan",olahraga
"Pemerintah naikkan upah minimum regional 8 persen",ekonomi
"Reformasi birokrasi dimulai di kementerian dan lembaga",politik
"Festival musik elektronik hadirkan DJ kelas dunia",hiburan
"Teknologi charging nirkabel jarak jauh mulai dikomersialisasi",teknologi
"Atlet triathlon Indonesia pecahkan rekor nasional",olahraga
"Pajak karbon akan diterapkan mulai tahun depan",ekonomi
"Undang-undang cipta kerja direvisi sesuai putusan MK",politik
"Penyanyi dangdut legendaris akan gelar konser perpisahan",hiburan
"Supercomputer pertama buatan Indonesia diresmikan",teknologi
"Tim dayung raih medali perunggu di kejuaraan dunia",olahraga
"Investasi asing langsung naik 15 persen kuartal ini",ekonomi
"Presiden hadiri peringatan hari kemerdekaan negara sahabat",politik
"Bioskop multipleks baru dibuka di pusat perbelanjaan",hiburan
"Teknologi battery swap untuk kendaraan listrik diluncurkan",teknologi
"Atlet pencak silat borong 5 emas di SEA Games",olahraga
"Neraca perdagangan surplus 3 miliar dolar AS bulan ini",ekonomi
"Menteri pendidikan luncurkan kurikulum baru",politik
"Penyanyi Indonesia kolaborasi dengan artis Hollywood",hiburan
"Startup edtech raih pendanaan 20 juta dolar",teknologi
"Pemain tenis meja Indonesia juara grand final",olahraga
"Harga saham perusahaan teknologi meroket 50 persen",ekonomi
"Rapat kabinet bahas program prioritas nasional",politik
"Drama musikal adaptasi novel laris dipentaskan",hiburan
"Teknologi solar panel transparan untuk jendela gedung",teknologi
"Atlet gimnastik raih nilai sempurna di kompetisi",olahraga
"Bank digital raih nasabah 10 juta dalam setahun",ekonomi
"Komisi pemilihan umum tetapkan daftar pemilih tetap",politik
"Aktor muda raih piala citra sutradara terbaik",hiburan
"Perusahaan game lokal ekspansi ke pasar global",teknologi
"Kejuaraan tinju internasional digelar di Jakarta",olahraga
"Pemerintah targetkan pertumbuhan ekonomi 6 persen",ekonomi
